Date,AAPL,GOOGL,MSFT
2020-01-02,72.716064453125,68.18681335449219,153.63070678710938
2020-01-03,72.00912475585938,67.83010864257812,151.7177276611328
2020-01-06,72.58290100097656,69.63805389404297,152.10986328125
2020-01-07,72.24156188964844,69.50354766845703,150.72299194335938
2020-01-08,73.40364837646484,69.99824523925781,153.12374877929688
2020-01-09,74.96280670166016,70.73308563232422,155.03671264648438
2020-01-10,75.13227081298828,71.18992614746094,154.31936645507812
2020-01-13,76.73744201660156,71.7414321899414,156.1749267578125
2020-01-14,75.70120239257812,71.2711410522461,155.0749969482422
2020-01-15,75.37680053710938,71.70008087158203,156.07931518554688
2020-01-16,76.32099151611328,72.24610900878906,158.939208984375
2020-01-17,77.16593933105469,73.70880126953125,159.8286895751953
2020-01-21,76.64302062988281,73.84480285644531,159.25485229492188
2020-01-22,76.91658020019531,73.92550659179688,158.48965454101562
2020-01-23,77.28700256347656,73.96636199951172,159.46527099609375
2020-01-24,77.06427764892578,73.04371643066406,157.85841369628906
2020-01-27,74.7981948852539,71.32793426513672,155.21847534179688
2020-01-28,76.9141616821289,72.26304626464844,158.26011657714844
2020-01-29,78.52413940429688,72.5719223022461,160.727783203125
2020-01-30,78.41033935546875,72.44985961914062,165.2615509033203
2020-01-31,74.93374633789062,71.38024139404297,162.822509765625
2020-02-03,74.72796630859375,73.86223602294922,166.79193115234375
2020-02-04,77.19499969482422,72.00946044921875,172.2821502685547
2020-02-05,77.82447814941406,72.04134368896484,172.0717010498047
2020-02-06,78.73477172851562,73.53193664550781,175.63941955566406
2020-02-07,77.66455078125,73.6883773803711,175.8881072998047
2020-02-10,78.03343963623047,75.16053771972656,180.48880004882812
2020-02-11,77.56266021728516,75.23028564453125,176.4141387939453
2020-02-12,79.40458679199219,75.65724182128906,176.67242431640625
2020-02-13,78.83914184570312,75.39618682861328,175.71592712402344
2020-02-14,78.85855865478516,75.66221618652344,177.28457641601562
2020-02-18,77.41461181640625,75.69759368896484,179.08277893066406
2020-02-19,78.53578186035156,75.96810913085938,179.61985778808594
2020-02-20,77.73009490966797,75.57553100585938,176.8768310546875
2020-02-21,75.97067260742188,73.90508270263672,171.28529357910156
2020-02-24,72.36203002929688,70.736572265625,163.90025329589844
2020-02-25,69.91097259521484,69.06563568115234,161.19558715820312
2020-02-26,71.02002716064453,69.27238464355469,163.209716796875
2020-02-27,66.37757873535156,65.51001739501953,151.7101287841797
2020-02-28,66.33872985839844,66.72063446044922,155.38348388671875
2020-03-02,72.51493072509766,69.06563568115234,165.7225341796875
2020-03-03,70.2119140625,66.6444091796875,157.78118896484375
2020-03-04,73.4686508178711,68.83049011230469,163.5741424560547
2020-03-05,71.08553314208984,65.50055694580078,159.4691925048828
2020-03-06,70.14152526855469,64.55299377441406,154.96148681640625
2020-03-09,64.5938720703125,60.56993103027344,144.45933532714844
2020-03-10,69.24602508544922,63.52820587158203,154.33802795410156
2020-03-11,66.84107971191406,60.32630920410156,147.34619140625
2020-03-12,60.24021911621094,55.37675476074219,133.3721466064453
2020-03-13,67.45748901367188,60.494205474853516,152.33355712890625
2020-03-16,58.77928924560547,53.456214904785156,129.8810272216797
2020-03-17,61.36381530761719,55.70107650756836,140.5749969482422
2020-03-18,59.861629486083984,54.36243438720703,134.6573486328125
2020-03-19,59.40297317504883,55.38273239135742,136.87290954589844
2020-03-20,55.63174057006836,53.21757888793945,131.73208618164062
2020-03-23,54.449893951416016,52.5161247253418,130.4181671142578
2020-03-24,59.912601470947266,56.29642105102539,142.2725830078125
2020-03-25,59.582557678222656,54.88204574584961,140.91067504882812
2020-03-26,62.71797180175781,57.935977935791016,149.7247772216797
2020-03-27,60.12130355834961,55.31248474121094,143.57701110839844
2020-03-30,61.8370475769043,57.10847854614258,153.67626953125
